Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
American Tree Sparrow,Spizelloides arborea,26000000,26000000,17000000,9600000,26000000
Chipping Sparrow,Spizella passerina,240000000,230000000,130000000,100000000,230000000
Clay-colored Sparrow,Spizella pallida,60000000,60000000,51000000,9100000,60000000
Brewer's Sparrow,Spizella breweri,17000000,17000000,150000,17000000,17000000
Field Sparrow,Spizella pusilla,9300000,9300000,110000,9200000,9300000
Black-chinned Sparrow,Spizella atrogularis,1100000,290000,0,290000,290000
Vesper Sparrow,Pooecetes gramineus,35000000,35000000,13000000,22000000,35000000
Lark Sparrow,Chondestes grammacus,11000000,11000000,54000,11000000,11000000
Five-striped Sparrow,Amphispiza quinquestriata,200000,50,0,0,50
Black-throated Sparrow,Amphispiza bilineata,62000000,31000000,0,31000000,31000000
Sagebrush Sparrow,Artemisiospiza nevadensis,5400000,5400000,0,5400000,5400000
Bell's Sparrow,Artemisiospiza belli,270000,210000,0,210000,210000
Lark Bunting,Calamospiza melanocorys,12000000,12000000,650000,11000000,12000000
Savannah Sparrow,Passerculus sandwichensis,170000000,170000000,100000000,69000000,170000000
Grasshopper Sparrow,Ammodramus savannarum,34000000,33000000,930000,33000000,33000000
Baird's Sparrow,Centronyx bairdii,3400000,3400000,2600000,840000,3400000
Henslow's Sparrow,Centronyx henslowii,410000,410000,0,410000,410000
LeConte's Sparrow,Ammospiza leconteii,5100000,5100000,4600000,530000,5100000
Seaside Sparrow,Ammospiza maritima,200000,200000,0,200000,200000
Nelson's Sparrow,Ammospiza nelsoni,1000000,1000000,860000,150000,1000000
